name,LevEntr,LevMean,LevStd,LevMed,LevMax,LenEntr,LenMean,LenStd,LenMed,LenMin,LenMax,ShEntrEntr,ShEntrMean,ShEntrStd,ShEntrMed,ShEntrMin,ShEntrMax,TriEntr,TriMean,TriStd,TriMed,TriMin,TriMax,NTriEntr,NTriMean,NTriStd,NTriMed,NTriMin
DPPIV_inhibitory_activity,1.421015105323115,13.846188600536394,9.99139385697814,13.0,90.0,2.3362708326230246,10.864559819413092,9.638680100323333,9.0,2,90,2.231630108340601,2.340368689380416,0.9140775780445012,2.584962500721156,0.0,4.08746284125034,2.340233506132912,8.71933784800602,9.315969808170625,7.0,0,87,0.8748360970687543,0.7979896572145956,0.3944722388531793,1.0,0.0
HemoPI1,1.3415473516160143,21.108794108380597,9.41305105712757,20.0,94.0,2.5312870775742664,20.472826086956523,9.633839098788629,18.0,4,98,2.695136480777704,2.9794360952427947,0.5965066880544609,3.09306920777189,0.8524051786494786,4.116264615668023,2.558177693291015,17.78894927536232,9.622956454487532,16.0,2,95,0.5412965874259605,0.9610390486785978,0.1182421112746104,1.0,0.1333333333333333
HemoPI2,1.3778835218480456,20.127936696894366,8.889144528691176,19.0,96.0,2.5499705195877067,19.897435897435894,9.276879136974085,18.0,2,98,2.7488024995851013,2.7169377811794746,0.6440771535039591,2.7995695010774506,0.0,4.074467990711882,2.617133760301948,16.76232741617357,9.263495454460507,15.0,0,95,1.7645897581964882,0.9311133828149872,0.1546759899392199,1.0,0.0
HemoPI3,1.4699589374325428,22.187493633318688,9.646414987040403,21.0,96.0,2.715979962576353,21.7268803945746,10.377047374676192,20.0,2,98,2.8227633024659244,2.836951911604206,0.6335192552130028,2.930901017544871,0.0,4.043126292112598,2.724544620482232,18.75277435265105,10.2729056720393,17.0,0,95,1.6567778559509063,0.9469488401975746,0.1312768570685772,1.0,0.0
Hemo_HAPPENN,2.007942079282449,17.436485177751614,5.461209894068468,17.0,35.0,2.990145514279237,17.684055644729803,6.510638076551165,17.0,7,35,3.0281048943921287,2.6716092746580764,0.6216822309102986,2.7998144947809847,0.4689955935892812,3.984183719779189,2.885623346578855,14.781968967362223,6.632065867797109,13.0,2,33,1.6822607066048485,0.9398797641273714,0.1391048311072741,1.0,0.1333333333333333
ace_inhibitory_activity,1.2255830519062958,9.970391151836465,5.90774562140008,8.0,79.0,2.390509028210905,8.805619707467283,5.528526273157354,7.0,5,81,2.957729092256524,2.5008036471953323,0.5451146197881095,2.4056390622295662,0.5916727785823275,4.095795255000934,2.3919222658965125,6.783294842186297,5.503200657208421,5.0,2,78,0.1093216003119536,0.9973847286908336,0.0228834143636648,1.0,0.5
ace_vaxinpad,2.2636540726034498,13.848849885073012,6.043977941779173,14.0,30.0,2.107388113097992,11.915697674418604,7.000738173819007,10.0,3,30,2.398395791093241,2.451021528278851,0.6894027465484347,2.5,0.0,3.9182958340544896,2.064264472230067,9.542151162790695,6.7387694705450345,8.0,1,28,0.4783646223807991,0.9705609936762776,0.1022376332978572,1.0,0.125
acp_anticp,1.742312450344206,28.32312339720537,11.872777179768136,27.0,94.0,2.241830947397077,25.99109131403118,13.958095444236458,25.0,5,97,2.338446099587708,3.2105665006514257,0.5203132816541518,3.288320189106,0.9975025463691152,4.031516651189607,2.308823337043234,23.58574610244989,13.765855306791446,23.0,3,94,0.3562387045575936,0.9829506009452048,0.0568777976475813,1.0,0.4166666666666667
acp_iacp,1.3625457672445862,25.67426649540292,10.247537214655864,24.0,92.0,2.196387834952595,25.48837209302325,10.643803947189085,25.0,11,97,2.297803104005718,3.232686980682249,0.3768388603494129,3.295034674247872,1.5566567074628228,3.982856663324784,2.2553700330362,22.936046511627907,10.345568794041982,22.0,5,94,1.3445659904895475,0.9782435602119012,0.0526227438462899,1.0,0.4166666666666667
acp_mlacp,2.027807462234758,25.800809409014537,7.582051922916709,25.0,49.0,2.419488184200494,26.499145299145297,9.250756455338244,25.0,11,50,2.551611181594992,3.2449262614495358,0.4104212916745431,3.276108478543875,1.181899057917561,4.031516651189607,2.449096173613973,24.0017094017094,9.265965504795789,23.0,5,48,1.2816588679465888,0.9788721621527564,0.0629044516593818,1.0,0.3157894736842105
