name,mean_len,entropy_levenshtein,entropy_unique_trimers_on_all,std_levenshtein,mean_unique_trimers_on_all,entropy_unique_trimers,entropy_shannon_entropy,std_unique_trimers_on_all
DPPIV_inhibitory_activity,10.864559819413092,1.421015105323115,0.8748360970687543,9.99139385697814,0.7979896572145956,2.340233506132912,2.231630108340601,0.3944722388531793
HemoPI1,20.472826086956523,1.3415473516160143,0.5412965874259605,9.41305105712757,0.9610390486785978,2.558177693291015,2.695136480777704,0.1182421112746104
HemoPI2,19.897435897435898,1.3778835218480456,1.7645897581964882,8.889144528691176,0.9311133828149873,2.617133760301948,2.7488024995851013,0.15467598993921994
HemoPI3,21.7268803945746,1.4699589374325428,1.6567778559509065,9.646414987040405,0.9469488401975746,2.724544620482232,2.8227633024659244,0.1312768570685772
Hemo_HAPPENN,17.684055644729803,2.007942079282449,1.6822607066048483,5.461209894068468,0.9398797641273714,2.885623346578855,3.0281048943921287,0.1391048311072741
ace_inhibitory_activity,8.805619707467283,1.2255830519062958,0.10932160031195365,5.90774562140008,0.9973847286908337,2.3919222658965125,2.9577290922565234,0.022883414363664804
ace_vaxinpad,11.915697674418604,2.2636540726034498,0.4783646223807991,6.043977941779173,0.9705609936762777,2.064264472230067,2.398395791093241,0.10223763329785727
acp_anticp,25.99109131403118,1.742312450344206,0.35623870455759366,11.872777179768137,0.9829506009452048,2.308823337043234,2.3384460995877077,0.056877797647581316
acp_iacp,25.488372093023255,1.3625457672445862,1.3445659904895477,10.247537214655864,0.9782435602119013,2.2553700330362,2.297803104005718,0.05262274384628994
acp_mlacp,26.499145299145297,2.027807462234758,1.2816588679465888,7.582051922916709,0.9788721621527563,2.449096173613973,2.551611181594992,0.0629044516593818
afp_amppred,29.53741245853299,1.8277392067959009,0.28219655558629314,13.810950594037406,0.9789777624346109,2.8646746041720093,3.0577243829089285,0.07549558094554994
afp_antifp,55.0877914951989,2.0606686197488107,1.435481824094523,16.49794063779471,0.9825751709609427,2.9291046788791926,3.143351091699539,0.060863073838923934
aip_aippred,16.36510962821735,1.599663258298741,0.21727266018865138,2.271373149795651,0.9931145013566869,1.514358184864435,2.735481430614651,0.03977799826543952
aip_antiinflam,16.133239171374765,1.5844447787845757,0.1996360943575313,2.7407248699275715,0.9896045991348865,2.0886738043232564,3.0061040707664435,0.04459482598498014
amp_antibp,30.0,1.1752293451353373,1.621178793272143,2.1956225642334224,0.9267048282727725,1.621178793272143,2.5959444816663133,0.12793664668727786
amp_antibp2,29.72002007024586,1.7074978915831516,0.28853925351152004,12.092236597713708,0.9819721862383254,2.8378206138455746,2.9102162082695626,0.05810180709838906
amp_csamp,48.71078431372549,2.116787100896939,1.463044113445752,18.423830040183457,0.9813150168002603,1.9349527061683431,2.0687722439262766,0.0375479795446448
amp_fernandes,47.62770562770563,2.075805203102804,2.1620427646166283,16.503185223752993,0.4583131130390789,2.118806562884857,2.1555599366031446,0.14272537431930624
amp_gonzales,30.170542635658915,1.9910789302544316,1.563395306206594,12.922650999999455,0.9283450869865163,1.92317578283499,2.0098168200065394,0.1580341810820249
amp_iamp2l,59.44776119402985,2.02425609023662,1.6423334772380294,18.333568105381797,0.9794316844881229,2.4722923755773683,2.9876915017368098,0.057785840471627395
amp_modlamp,42.84412563008918,1.5544387247738454,1.6444710103233817,12.93610063485196,0.9740700112730488,2.9814551997634604,3.131221918932482,0.0744306906142841
anitinflamatory,16.361213720316623,1.3758236477747248,0.1605796325292647,2.357744069733349,0.9915694067663139,1.6559429572340671,3.189743286148742,0.043210211786749234
anti_MRSA,30.30251256281407,1.8380545006284872,0.24293002796430166,8.237910484264761,0.9903584653435142,2.3632843872799616,2.6389095911699636,0.03571150444358459
antibacterial,33.09356124667794,2.169249991795027,1.5086568441377632,21.160630090652933,0.9698490784809682,3.07669397035244,3.4731916540021937,0.09250124983296494
anticancer_alternative,24.65824742268041,2.240569031581602,0.52426682017605,9.628834722920118,0.9651445856233766,2.5526254481488353,2.7699898841391213,0.10257243982255886
anticancer_main,23.8130081300813,2.20978135031467,1.537185882970133,9.148919015695917,0.9545174867537332,2.552955491178602,2.818661847667391,0.11639635748805147
antidiabetic,19.603813559322035,1.6100225999990145,0.325292212059292,4.258262828477523,0.9869588339235658,2.5366429476932977,2.4914981026559033,0.05648041707396921
antifungal,54.20694864048338,2.046697361826399,1.2733276882777902,16.66138799639384,0.9864075371882599,2.380915425353676,2.880708451420122,0.0525752159280779
antimalarial_alternative,28.56564417177914,1.7078297522967045,0.3472743685985398,9.129834240001193,0.961294618715755,2.276136420966758,2.610908618890222,0.15719243986797224
antimalarial_main,31.752605346624378,1.973885448489512,1.507614740668356,16.419680742582525,0.9637808313079759,2.967936746023988,3.0256826251392126,0.11919815134628448
antimicrobial,18.528301886792452,1.9388756581246884,0.472271636117227,4.211144201945186,0.970581925126125,2.9684065718928476,3.470694749816291,0.09752966208217784
antimicrobial_UniDL4BioPep,52.832832832832835,2.1807190952828477,1.832659801001098,20.408363635204793,0.9744588375880697,2.818485786245702,3.3416618406477743,0.06844777335209683
antioxidant,5.915094339622642,2.051468758416593,0.24860307704664458,3.5838508910916844,0.9584422855708232,2.2575660918715323,2.4163997670076833,0.1935120377999896
antioxidant_UniDL4BioPep,5.736467236467236,1.78383949083909,0.22678107347870174,4.275059165063084,0.9542908500173457,2.229078386634917,2.4033844808230516,0.2059745818373132
antiparasitic,47.701492537313435,2.1963770044323874,1.7915777713696592,20.57439394824278,0.975510832351403,2.22580942701884,2.5196417085553615,0.06720623048418067
antiviral,20.85054347826087,1.6236374805978349,0.28239426920842037,14.413730426900113,0.9867905389811015,2.996610055635999,3.1784127385767467,0.053145314451957575
atb_antitbp,16.20731707317073,1.9391462414880354,0.4556016063746517,10.033455801284527,0.974493051014983,2.376077232587685,2.459764215420834,0.08809349902399331
atb_iantitb,15.75,1.9392418979279884,0.5292726078325518,10.14737966234617,0.969959222132944,2.4376467830381654,2.369183283549543,0.09487983815709215
avp_amppred,24.60821917808219,1.3876334317147727,0.36876657340116703,9.38809154531157,0.9713869088207896,2.2998437549988373,2.91026831785563,0.09887825296950123
avp_avppred,21.693116634799235,1.3655028414669126,0.4726620766386866,8.181973484383484,0.9609306563800898,2.2822070555925924,2.670790439050873,0.12463314061600828
bce_ibce,16.246624305003973,1.1272847307944276,0.15848008372428188,3.1699796941188145,0.9919121025502715,2.073543583079653,3.0214745572031845,0.04395552369991857
bitter,5.303125,1.393333939639732,0.615974866489494,3.758353455573529,0.7794252622377622,2.2793581349489553,2.1856685616689617,0.4099924026555609
blood_brain_barrier,19.73949579831933,2.209761892815005,0.3599319790369242,9.974225356142078,0.9755866059626193,2.0827460219535863,1.9758844409942065,0.09468895874313221
cpp_cellppd,18.60161090458488,1.7806839704544768,0.5477697492341441,7.396191460977027,0.9558011964550854,2.7477775754207627,2.7632685850936105,0.134632097255119
cpp_cellppdmod,16.88372093023256,1.9893093914468853,1.906824512428335,6.357187928234012,0.8867526443916841,2.735749558523585,2.7177579664314333,0.22263150871250306
cpp_cppredfl,20.463203463203463,1.8261966138477144,1.568400784352814,7.654256425735228,0.9273318526051356,2.624012866752481,2.536917342728346,0.17135514029974727
cpp_kelmcpp,20.558325024925225,1.7939521492196557,1.8161222896821076,6.226044331817281,0.9242783540363134,2.4620226408090558,2.6938711060809526,0.16296047840941955
cpp_mlcpp,20.374146085128743,1.853619839553035,1.5977222263249649,6.212009129077315,0.9262095417507242,2.6365136163689162,2.853904598614902,0.17770242185758886
cpp_mlcppue,15.518716577540108,1.5357944378020887,1.4398609265266367,6.528255875399516,0.928868718461732,2.390207636603514,2.127122258862113,0.17219606135138021
cpp_sanders,18.26206896551724,1.8242339249308532,1.5313375104893816,5.754781687156861,0.9268440940818103,2.0081531683201037,2.0335794133623737,0.15957550723519734
hem_hemopi,20.472826086956523,1.3415473516160137,0.5412965874259605,9.413051057127571,0.961039048678598,2.558177693291015,2.695136480777704,0.11824211127461039
hiv_apv,99.25641025641026,1.9085986650300137,1.280475689456281,4.556371798107808,0.9705075157210652,1.2898128454950273,2.5666183770046658,0.008227777476422487
hiv_bevirimat,20.774193548387096,1.9558950480933528,0.18846078536135713,1.7798789611817871,0.997283531409168,0.6397670885604441,1.9600976557117504,0.01439023436361093
hiv_idv,99.25196850393701,1.9129698485475952,1.25571171642971,4.457377148158402,0.970140367211094,1.2843883926523019,2.601886775349458,0.00815053946523512
hiv_lpv,99.29086538461539,1.9709547900214417,1.2453370369581185,4.606024923902802,0.9708949003868003,1.3625365676474825,2.455643360077954,0.008956782075524644
hiv_nfv,99.25,1.9053397753647703,1.2734973141866957,4.542795775830897,0.9702081926945718,1.2979330466783732,2.60955378839762,0.00823408816520513
hiv_protease,8.0,1.095097607752817,0.18806495851548158,0.8516458691570857,0.9903203097500879,0.18806495851548158,2.0226954669968578,0.06122783110591013
hiv_rtv,99.26402640264027,1.8975826774674553,1.248010093551506,4.498117453955151,0.9701741266068538,1.2803246372484924,2.607354598687324,0.008032862604082182
hiv_sqv,99.25391849529781,1.9029891100730574,1.267931425588939,4.532455045931017,0.9700873627413673,1.2997887421570684,2.6491976840060807,0.008230245143972545
hiv_v3,34.83493708364175,1.8465681712643804,0.6388774761632852,4.086081707035178,0.9921060573070136,0.933628111145195,2.7899681507280705,0.014093980264065683
isp_il10pred,15.737520128824476,1.1334057193529656,0.38131045273176933,3.0717137141205346,0.9894043747473064,0.9054798198222082,2.832410065841051,0.04351354059159527
nep_neuropipred,28.41542857142857,2.0772353079858408,0.12685734859546266,21.246283175012778,0.9937740023418044,2.8982286647962234,2.815279383424551,0.02818277659259331
neuropeptide,20.95938144329897,1.924494424224016,0.1838690759513633,19.43756044860531,0.9930670231113761,3.110531941660956,3.1006560335416724,0.03202970537483199
pip_pipel,15.62453531598513,1.3722327698940857,0.2613668967823351,1.9809115307526053,0.9916530598522993,1.0207086518859765,3.1292454492345914,0.04360533961504193
quorum_sensing,22.256944444444443,2.3745311123911663,0.4434486477467211,15.788566308566313,0.9930740156602988,1.978111807732857,2.312187949885812,0.024175621050250215
tce_zhao,10.0,1.7348453701915356,0.055321344160042904,1.6711897741627053,0.9987684729064039,0.055321344160042904,1.7113329580068897,0.012346020723992254
toxic,33.72127329192546,1.8738536463758448,0.17324836466410332,6.424371497507178,0.9869393021490598,2.9081024881825233,3.229930086722959,0.04392387926733063
toxic_PLPTP,31.615333422068414,1.9999457527843565,0.16902652794684805,7.503903866353641,0.9859447906611915,3.0154149024208943,3.3844873879321398,0.04804221853436374
tumor_t_cell_antigens,10.306598984771574,1.1103612300963783,0.16863744987074905,3.6757000733067886,0.9954933636138552,1.4153262961076856,2.5955606606712953,0.03060083169024643
umami,5.115384615384615,1.5192738146298765,0.720903040498045,4.168489232912698,0.7314102564102564,1.7061537543457905,1.7816968103854731,0.4363561433928787
